"No.","Delta","Time","Source","Destination","Protocol","CumBytes","Length","Info"
"3542","0.000003","12.578122","54.210.90.84","128.237.113.226","TCP","3141821","1514","5201  >  62388 [ACK] Seq=320009 Ack=38 Win=26880 Len=1448 TSval=528812779 TSecr=2940931359"
"3543","0.000021","12.578143","128.237.113.226","54.210.90.84","TCP","3141887","66","62388  >  5201 [ACK] Seq=38 Ack=318561 Win=166496 Len=0 TSval=2940931400 TSecr=528812779"
"3544","0.000013","12.578156","128.237.113.226","54.210.90.84","TCP","3141953","66","62388  >  5201 [ACK] Seq=38 Ack=321457 Win=163616 Len=0 TSval=2940931400 TSecr=528812779"
"3545","0.000024","12.578180","128.237.113.226","54.210.90.84","TCP","3142019","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=321457 Win=167968 Len=0 TSval=2940931400 TSecr=528812779"
"3546","0.000073","12.578253","54.210.90.84","128.237.113.226","TCP","3143533","1514","5201  >  62388 [ACK] Seq=321457 Ack=38 Win=26880 Len=1448 TSval=528812779 TSecr=2940931359"
"3547","0.000003","12.578256","54.210.90.84","128.237.113.226","TCP","3145047","1514","5201  >  62388 [ACK] Seq=322905 Ack=38 Win=26880 Len=1448 TSval=528812779 TSecr=2940931359"
"3548","0.000019","12.578275","128.237.113.226","54.210.90.84","TCP","3145113","66","62388  >  5201 [ACK] Seq=38 Ack=324353 Win=165056 Len=0 TSval=2940931400 TSecr=528812779"
"3549","0.000019","12.578294","128.237.113.226","54.210.90.84","TCP","3145179","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=324353 Win=167968 Len=0 TSval=2940931400 TSecr=528812779"
"3550","0.000225","12.578519","54.210.90.84","128.237.113.226","TCP","3146693","1514","5201  >  62388 [ACK] Seq=324353 Ack=38 Win=26880 Len=1448 TSval=528812779 TSecr=2940931359"
"3551","0.000004","12.578523","54.210.90.84","128.237.113.226","TCP","3148207","1514","5201  >  62388 [ACK] Seq=325801 Ack=38 Win=26880 Len=1448 TSval=528812779 TSecr=2940931359"
"3552","0.000003","12.578526","54.210.90.84","128.237.113.226","TCP","3149721","1514","5201  >  62388 [ACK] Seq=327249 Ack=38 Win=26880 Len=1448 TSval=528812779 TSecr=2940931359"
"3553","0.000002","12.578528","54.210.90.84","128.237.113.226","TCP","3151235","1514","5201  >  62388 [ACK] Seq=328697 Ack=38 Win=26880 Len=1448 TSval=528812779 TSecr=2940931359"
"3554","0.000039","12.578567","128.237.113.226","54.210.90.84","TCP","3151301","66","62388  >  5201 [ACK] Seq=38 Ack=327249 Win=165056 Len=0 TSval=2940931400 TSecr=528812779"
"3555","0.000011","12.578578","128.237.113.226","54.210.90.84","TCP","3151367","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=327249 Win=167968 Len=0 TSval=2940931400 TSecr=528812779"
"3556","0.000029","12.578607","128.237.113.226","54.210.90.84","TCP","3151433","66","62388  >  5201 [ACK] Seq=38 Ack=330145 Win=166496 Len=0 TSval=2940931400 TSecr=528812779"
"3557","0.000005","12.578612","54.210.90.84","128.237.113.226","TCP","3152947","1514","5201  >  62388 [ACK] Seq=330145 Ack=38 Win=26880 Len=1448 TSval=528812779 TSecr=2940931359"
"3558","0.000003","12.578615","54.210.90.84","128.237.113.226","TCP","3154461","1514","5201  >  62388 [ACK] Seq=331593 Ack=38 Win=26880 Len=1448 TSval=528812779 TSecr=2940931359"
"3559","0.000024","12.578639","128.237.113.226","54.210.90.84","TCP","3154527","66","62388  >  5201 [ACK] Seq=38 Ack=333041 Win=167968 Len=0 TSval=2940931400 TSecr=528812779"
"3560","0.000154","12.578793","54.210.90.84","128.237.113.226","TCP","3156041","1514","5201  >  62388 [ACK] Seq=333041 Ack=38 Win=26880 Len=1448 TSval=528812779 TSecr=2940931359"
"3561","0.000005","12.578798","54.210.90.84","128.237.113.226","TCP","3157555","1514","5201  >  62388 [ACK] Seq=334489 Ack=38 Win=26880 Len=1448 TSval=528812779 TSecr=2940931359"
"3562","0.000004","12.578802","54.210.90.84","128.237.113.226","TCP","3159069","1514","5201  >  62388 [PSH, ACK] Seq=335937 Ack=38 Win=26880 Len=1448 TSval=528812779 TSecr=2940931359"
"3563","0.000040","12.578842","128.237.113.226","54.210.90.84","TCP","3159135","66","62388  >  5201 [ACK] Seq=38 Ack=334489 Win=166496 Len=0 TSval=2940931400 TSecr=528812779"
"3564","0.000033","12.578875","128.237.113.226","54.210.90.84","TCP","3159201","66","62388  >  5201 [ACK] Seq=38 Ack=337385 Win=165056 Len=0 TSval=2940931401 TSecr=528812779"
