N,B,T,Packet latency (ms),R,k,n,Frame latency (ms),Bandwidth increase (%),Loss rate (%)
12,12,41,40,0.7021791767554479,1160,1652,140.0,76.89655172413325,1.7441980468800393
12,13,41,40,0.6851742468989959,1160,1693,140.0,80.43103448276587,1.0232755395590645
12,14,41,40,0.6689734717416379,1160,1734,140.0,83.96551724138732,2.118180528142214
12,15,41,40,0.6535211267605633,1160,1776,140.0,87.58620689656358,0.8724537843311789
12,16,41,40,0.6387665198237885,1160,1816,140.0,91.03448275861237,1.6275784666589264
12,17,41,40,0.624663435648896,1160,1857,140.0,94.56896551723162,2.0781893004115224
12,18,41,40,0.6111696522655427,1160,1898,140.0,98.10344827587049,1.9185468993898114
12,19,41,40,0.5982465188241362,1160,1939,140.0,101.63793103448792,1.6259014151734457
13,13,41,40,0.677555958862674,1120,1653,140.0,83.30357142857648,1.4275359414248303
13,14,41,40,0.6611570247933884,1120,1694,140.0,86.96428571427639,0.4592552509219176
13,15,41,40,0.6455331412103746,1120,1735,140.0,90.625,2.5134780343113676
13,16,41,40,0.6306306306306306,1120,1776,140.0,94.28571428572482,1.075770936882048
13,17,41,40,0.6164006604292791,1120,1817,140.0,97.94642857142303,0.27756065950510395
13,18,41,40,0.6027987082884823,1120,1858,140.0,101.60714285714877,0.0
13,19,41,40,0.5897840968931016,1120,1899,140.0,105.26785714285086,0.7377678905456683
14,14,41,40,0.652962515114873,1080,1654,140.0,90.18518518518,1.2072023388895816
14,15,41,40,0.6371681415929203,1080,1695,140.0,93.98148148147226,0.6507115046209697
14,16,41,40,0.6221198156682027,1080,1736,140.0,97.77777777776627,0.3834642723531612
14,17,41,40,0.6077658975801914,1080,1777,140.0,101.5740740740861,1.5320731318673706
14,18,41,40,0.5940594059405941,1080,1818,140.0,105.37037037037719,0.9715467431516813
14,19,41,40,0.5809575040344271,1080,1859,140.0,109.1666666666697,0.0
15,15,41,40,0.6283987915407855,1040,1655,140.0,97.59615384614143,0.2509065009065009
15,16,41,40,0.6132075471698114,1040,1696,140.0,101.53846153845433,0.12712596045929378
15,17,41,40,0.5987334484743811,1040,1737,140.0,105.48076923076168,0.6409536965092522
15,18,41,40,0.5849268841394826,1040,1778,140.0,109.42307692307274,0.8534777979222424
15,19,41,40,0.5717427157779,1040,1819,140.0,113.36538461537808,0.17291864514086736
16,16,41,40,0.6038647342995169,1000,1656,140.0,105.59999999998944,0.0
16,17,41,40,0.5892751915144373,1000,1697,140.0,109.7000000000024,0.0
16,18,41,40,0.5753739930955121,1000,1738,140.0,113.79999999999936,0.09753086419753086
16,19,41,40,0.5621135469364812,1000,1779,140.0,117.9000000000119,0.0
17,17,41,40,0.5793602896801447,960,1658,140.0,114.375,0.6942106247661803
17,18,41,40,0.5653710247349824,960,1698,140.0,118.54166666666639,0.9207039531113604
17,19,41,40,0.5520414031052329,960,1739,140.0,122.81249999999997,0.0
18,18,41,40,0.5548854041013269,920,1658,140.0,123.69565217391317,0.541282389108476
18,19,41,40,0.5414949970570924,920,1700,140.0,128.26086956522045,0.44934042518583583
19,19,41,40,0.5304400241109102,880,1659,140.0,133.97727272728525,0.0
