"No.","Time","Source","Destination","Protocol","Length","Info"
"1332","1.281547","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1087449 Ack=38 Win=26880 Len=1448 TSval=254570940 TSecr=2935394673"
"1333","1.281549","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1088897 Ack=38 Win=26880 Len=1448 TSval=254570940 TSecr=2935394673"
"1334","1.281572","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1088897 Win=128160 Len=0 TSval=2935394693 TSecr=254570940"
"1335","1.281580","192.168.0.13","52.71.251.84","TCP","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=1088897 Win=131072 Len=0 TSval=2935394693 TSecr=254570940"
"1336","1.281586","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [PSH, ACK] Seq=1090345 Ack=38 Win=26880 Len=1448 TSval=254570940 TSecr=2935394673"
"1337","1.281602","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1091793 Win=131072 Len=0 TSval=2935394693 TSecr=254570940"
"1338","1.281610","192.168.0.13","52.71.251.84","TCP","66","[TCP Dup ACK 1337#1] 62388  >  5201 [ACK] Seq=38 Ack=1091793 Win=131072 Len=0 TSval=2935394693 TSecr=254570940"
"1339","1.281803","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1091793 Ack=38 Win=26880 Len=1448 TSval=254570940 TSecr=2935394673"
"1340","1.281806","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1093241 Ack=38 Win=26880 Len=1448 TSval=254570940 TSecr=2935394673"
"1341","1.281808","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1094689 Ack=38 Win=26880 Len=1448 TSval=254570940 TSecr=2935394673"
"1342","1.281835","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1094689 Win=128160 Len=0 TSval=2935394693 TSecr=254570940"
"1343","1.281842","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1096137 Ack=38 Win=26880 Len=1448 TSval=254570940 TSecr=2935394673"
"1344","1.281849","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1097585 Win=125280 Len=0 TSval=2935394693 TSecr=254570940"
"1345","1.281860","192.168.0.13","52.71.251.84","TCP","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=1097585 Win=131072 Len=0 TSval=2935394693 TSecr=254570940"
"1346","1.284880","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1097585 Ack=38 Win=26880 Len=1448 TSval=254570946 TSecr=2935394673"
"1347","1.284884","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1099033 Ack=38 Win=26880 Len=1448 TSval=254570946 TSecr=2935394673"
"1348","1.284886","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1100481 Ack=38 Win=26880 Len=1448 TSval=254570946 TSecr=2935394673"
"1349","1.284927","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1100481 Win=128160 Len=0 TSval=2935394696 TSecr=254570946"
"1350","1.284954","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1101929 Win=131072 Len=0 TSval=2935394696 TSecr=254570946"
"1351","1.300811","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1101929 Ack=38 Win=26880 Len=1448 TSval=254570962 TSecr=2935394693"
"1352","1.300815","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1103377 Ack=38 Win=26880 Len=1448 TSval=254570962 TSecr=2935394693"
"1353","1.300865","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1104825 Win=128160 Len=0 TSval=2935394710 TSecr=254570962"
"1354","1.300885","192.168.0.13","52.71.251.84","TCP","66","[TCP Window Update] 62388  >  5201 [ACK] Seq=38 Ack=1104825 Win=131072 Len=0 TSval=2935394710 TSecr=254570962"
"1355","1.302233","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1104825 Ack=38 Win=26880 Len=1448 TSval=254570962 TSecr=2935394693"
"1356","1.302237","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1106273 Ack=38 Win=26880 Len=1448 TSval=254570962 TSecr=2935394693"
"1357","1.302239","52.71.251.84","192.168.0.13","TCP","1514","5201  >  62388 [ACK] Seq=1107721 Ack=38 Win=26880 Len=1448 TSval=254570962 TSecr=2935394693"
"1358","1.302287","192.168.0.13","52.71.251.84","TCP","66","62388  >  5201 [ACK] Seq=38 Ack=1107721 Win=128160 Len=0 TSval=2935394711 TSecr=254570962"
